League,Club,Player,Position,Date of Birth,Age,Market Value
Premier League,Fulham FC,Ryan Sessegnon,Left Midfield,"May 18, 2000",18,35000000.0
Premier League,Fulham FC,Neeskens Kebano,Attacking Midfield,"Mar 10, 1992",27,3000000.0
Premier League,Fulham FC,André Schürrle,Left Winger,"Nov 6, 1990",28,15000000.0
Premier League,Fulham FC,Ryan Babel,Left Winger,"Dec 19, 1986",32,5000000.0
Premier League,Fulham FC,Floyd Ayité,Left Winger,"Dec 15, 1988",30,2500000.0
Premier League,Fulham FC,Lazar Markovic,Right Winger,"Mar 2, 1994",25,5000000.0
Premier League,Fulham FC,Aleksandar Mitrovic,Centre-Forward,"Sep 16, 1994",24,25000000.0
Premier League,Fulham FC,Luciano Vietto,Centre-Forward,"Dec 5, 1993",25,6000000.0
Premier League,Wolverhampton Wanderers,Rui Patrício,Goalkeeper,"Feb 15, 1988",31,18000000.0
Premier League,Wolverhampton Wanderers,John Ruddy,Goalkeeper,"Oct 24, 1986",32,3000000.0
Premier League,Wolverhampton Wanderers,Will Norris,Goalkeeper,"Aug 12, 1993",25,250000.0
Premier League,Wolverhampton Wanderers,Willy Boly,Centre-Back,"Feb 3, 1991",28,10000000.0
Premier League,Wolverhampton Wanderers,Conor Coady,Centre-Back,"Feb 25, 1993",26,8000000.0
Premier League,Wolverhampton Wanderers,Ryan Bennett,Centre-Back,"Mar 6, 1990",29,5000000.0
Premier League,Wolverhampton Wanderers,Jonny Castro,Left-Back,"Mar 3, 1994",25,18000000.0
Premier League,Wolverhampton Wanderers,Rúben Vinagre,Left-Back,"Apr 9, 1999",20,5000000.0
Premier League,Wolverhampton Wanderers,Matt Doherty,Right-Back,"Jan 16, 1992",27,15000000.0
Premier League,Wolverhampton Wanderers,Rúben Neves,Defensive Midfield,"Mar 13, 1997",22,40000000.0
Premier League,Wolverhampton Wanderers,Leander Dendoncker,Defensive Midfield,"Apr 15, 1995",23,15000000.0
Premier League,Wolverhampton Wanderers,Romain Saïss,Defensive Midfield,"Mar 26, 1990",29,5000000.0
Premier League,Wolverhampton Wanderers,João Moutinho,Central Midfield,"Sep 8, 1986",32,10000000.0
Premier League,Wolverhampton Wanderers,Morgan Gibbs-White,Central Midfield,"Jan 27, 2000",19,5000000.0
Premier League,Wolverhampton Wanderers,Diogo Jota,Left Winger,"Dec 4, 1996",22,18000000.0
Premier League,Wolverhampton Wanderers,Adama Traoré,Right Winger,"Jan 25, 1996",23,18000000.0
Premier League,Wolverhampton Wanderers,Hélder Costa,Right Winger,"Jan 12, 1994",25,15000000.0
Premier League,Wolverhampton Wanderers,Ivan Cavaleiro,Right Winger,"Oct 18, 1993",25,10000000.0
Premier League,Wolverhampton Wanderers,Raúl Jiménez,Centre-Forward,"May 5, 1991",27,25000000.0
Premier League,Southampton FC,Angus Gunn,Goalkeeper,"Jan 22, 1996",23,10000000.0
Premier League,Southampton FC,Fraser Forster,Goalkeeper,"Mar 17, 1988",31,10000000.0
Premier League,Southampton FC,Alex McCarthy,Goalkeeper,"Dec 3, 1989",29,5000000.0
Premier League,Southampton FC,Jack Rose,Goalkeeper,"Jan 31, 1995",24,100000.0
Premier League,Southampton FC,Jannik Vestergaard,Centre-Back,"Aug 3, 1992",26,20000000.0
Premier League,Southampton FC,Jack Stephens,Centre-Back,"Jan 27, 1994",25,8000000.0
Premier League,Southampton FC,Jan Bednarek,Centre-Back,"Apr 12, 1996",23,8000000.0
Premier League,Southampton FC,Maya Yoshida,Centre-Back,"Aug 24, 1988",30,7000000.0
Premier League,Southampton FC,Ryan Bertrand,Left-Back,"Aug 5, 1989",29,18000000.0
Premier League,Southampton FC,Matt Targett,Left-Back,"Sep 18, 1995",23,7000000.0
Premier League,Southampton FC,Yan Valery,Right-Back,"Feb 22, 1999",20,2500000.0
Premier League,Southampton FC,Mario Lemina,Defensive Midfield,"Sep 1, 1993",25,15000000.0
Premier League,Southampton FC,Oriol Romeu,Defensive Midfield,"Sep 24, 1991",27,12000000.0
Premier League,Southampton FC,James Ward-Prowse,Central Midfield,"Nov 1, 1994",24,15000000.0
Premier League,Southampton FC,Pierre-Emile Höjbjerg,Central Midfield,"Aug 5, 1995",23,12000000.0
Premier League,Southampton FC,Stuart Armstrong,Central Midfield,"Mar 30, 1992",27,8000000.0
Premier League,Southampton FC,Nathan Redmond,Left Winger,"Mar 6, 1994",25,18000000.0
Premier League,Southampton FC,Mohamed Elyounoussi,Left Winger,"Aug 4, 1994",24,15000000.0
Premier League,Southampton FC,Josh Sims,Right Winger,"Mar 28, 1997",22,1000000.0
Premier League,Southampton FC,Danny Ings,Centre-Forward,"Jul 23, 1992",26,12000000.0
Premier League,Southampton FC,Charlie Austin,Centre-Forward,"Jul 5, 1989",29,10000000.0
Premier League,Southampton FC,Shane Long,Centre-Forward,"Jan 22, 1987",32,7000000.0
Premier League,Southampton FC,Sam Gallagher,Centre-Forward,"Sep 15, 1995",23,3000000.0
Premier League,Southampton FC,Michael Obafemi,Centre-Forward,"Jul 6, 2000",18,1000000.0
Premier League,Newcastle United,Martin Dubravka,Goalkeeper,"Jan 15, 1989",30,5000000.0
Premier League,Newcastle United,Karl Darlow,Goalkeeper,"Oct 8, 1990",28,3500000.0
Premier League,Newcastle United,Rob Elliot,Goalkeeper,"Apr 30, 1986",32,1500000.0
Premier League,Newcastle United,Freddie Woodman,Goalkeeper,"Mar 4, 1997",22,500000.0
Premier League,Newcastle United,Jamaal Lascelles,Centre-Back,"Nov 11, 1993",25,15000000.0
Premier League,Newcastle United,Federico Fernández,Centre-Back,"Feb 21, 1989",30,8000000.0
Premier League,Newcastle United,Florian Lejeune,Centre-Back,"May 20, 1991",27,8000000.0
Premier League,Newcastle United,Fabian Schär,Centre-Back,"Dec 20, 1991",27,7000000.0
Premier League,Newcastle United,Ciaran Clark,Centre-Back,"Sep 26, 1989",29,6000000.0
Premier League,Newcastle United,Antonio Barreca,Left-Back,"Mar 18, 1995",24,7000000.0
Premier League,Newcastle United,Paul Dummett,Left-Back,"Sep 26, 1991",27,3500000.0
Premier League,Newcastle United,DeAndre Yedlin,Right-Back,"Jul 9, 1993",25,8000000.0
Premier League,Newcastle United,Javier Manquillo,Right-Back,"May 5, 1994",24,5000000.0
Premier League,Newcastle United,Isaac Hayden,Defensive Midfield,"Mar 22, 1995",24,7000000.0
Premier League,Newcastle United,Sung-yong Ki,Defensive Midfield,"Jan 24, 1989",30,6000000.0
Premier League,Newcastle United,Jonjo Shelvey,Central Midfield,"Feb 27, 1992",27,15000000.0
Premier League,Newcastle United,Mohamed Diamé,Central Midfield,"Jun 14, 1987",31,5000000.0
Premier League,Newcastle United,Sean Longstaff,Central Midfield,"Oct 30, 1997",21,2500000.0
Premier League,Newcastle United,Matt Ritchie,Right Midfield,"Sep 10, 1989",29,12000000.0
Premier League,Newcastle United,Kenedy,Left Midfield,"Feb 8, 1996",23,10000000.0
Premier League,Newcastle United,Miguel Almirón,Attacking Midfield,"Feb 10, 1994",25,20000000.0
Premier League,Newcastle United,Christian Atsu,Left Winger,"Jan 10, 1992",27,6000000.0
Premier League,Newcastle United,Ayoze Pérez,Second Striker,"Jul 29, 1993",25,10000000.0
Premier League,Newcastle United,José Salomón Rondón,Centre-Forward,"Sep 16, 1989",29,15000000.0
Premier League,Newcastle United,Yoshinori Muto,Centre-Forward,"Jul 15, 1992",26,10000000.0
Premier League,Newcastle United,Joselu,Centre-Forward,"Mar 27, 1990",29,4000000.0
Premier League,Watford FC,Ben Foster,Goalkeeper,"Apr 3, 1983",36,3000000.0
Premier League,Watford FC,Heurelho Gomes,Goalkeeper,"Feb 15, 1981",38,1000000.0
Premier League,Watford FC,Pontus Dahlberg,Goalkeeper,"Jan 21, 1999",20,1000000.0
Premier League,Watford FC,Christian Kabasele,Centre-Back,"Feb 24, 1991",28,9000000.0
Premier League,Watford FC,Sebastian Prödl,Centre-Back,"Jun 21, 1987",31,3500000.0
Premier League,Watford FC,Craig Cathcart,Centre-Back,"Feb 6, 1989",30,3500000.0
Premier League,Watford FC,Miguel Britos,Centre-Back,"Jul 17, 1985",33,2500000.0
Premier League,Watford FC,Adrian Mariappa,Centre-Back,"Oct 3, 1986",32,1500000.0
Premier League,Watford FC,Tommie Hoban,Centre-Back,"Jan 24, 1994",25,600000.0
Premier League,Watford FC,Adam Masina,Left-Back,"Jan 2, 1994",25,7000000.0
Premier League,Watford FC,José Holebas,Left-Back,"Jun 27, 1984",34,2000000.0
Premier League,Watford FC,Daryl Janmaat,Right-Back,"Jul 22, 1989",29,6000000.0
Premier League,Watford FC,Kiko Femenía,Right-Back,"Feb 2, 1991",28,5000000.0
Premier League,Watford FC,Marc Navarro,Right-Back,"Jul 2, 1995",23,2000000.0
Premier League,Watford FC,Étienne Capoue,Defensive Midfield,"Jul 11, 1988",30,8000000.0
Premier League,Watford FC,Nathaniel Chalobah,Defensive Midfield,"Dec 12, 1994",24,7000000.0
Premier League,Watford FC,Abdoulaye Doucouré,Central Midfield,"Jan 1, 1993",26,25000000.0
Premier League,Watford FC,Will Hughes,Central Midfield,"Apr 17, 1995",23,15000000.0
Premier League,Watford FC,Tom Cleverley,Central Midfield,"Aug 12, 1989",29,9000000.0
Premier League,Watford FC,Domingos Quina,Central Midfield,"Nov 18, 1999",19,5000000.0
Premier League,Watford FC,Roberto Pereyra,Left Midfield,"Jan 7, 1991",28,12000000.0
Premier League,Watford FC,Ken Sema,Left Midfield,"Sep 30, 1993",25,3000000.0
Premier League,Watford FC,Isaac Success,Left Winger,"Jan 7, 1996",23,5000000.0
Premier League,Watford FC,Gerard Deulofeu,Right Winger,"Mar 13, 1994",25,18000000.0
Premier League,Watford FC,Andre Gray,Centre-Forward,"Jun 26, 1991",27,15000000.0
Premier League,Watford FC,Troy Deeney,Centre-Forward,"Jun 29, 1988",30,10000000.0
Premier League,Watford FC,Adalberto Peñaranda,Centre-Forward,"May 31, 1997",21,2000000.0
Premier League,Brighton & Hove Albion,Mathew Ryan,Goalkeeper,"Apr 8, 1992",27,8000000.0
Premier League,Brighton & Hove Albion,David Button,Goalkeeper,"Feb 27, 1989",30,1500000.0
Premier League,Brighton & Hove Albion,Jason Steele,Goalkeeper,"Aug 18, 1990",28,750000.0
Premier League,Brighton & Hove Albion,Shane Duffy,Centre-Back,"Jan 1, 1992",27,12000000.0
Premier League,Brighton & Hove Albion,Lewis Dunk,Centre-Back,"Nov 21, 1991",27,12000000.0
Premier League,Brighton & Hove Albion,Dan Burn,Centre-Back,"May 9, 1992",26,3000000.0
Premier League,Brighton & Hove Albion,Leon Balogun,Centre-Back,"Jun 28, 1988",30,2000000.0
Premier League,Brighton & Hove Albion,Bernardo,Left-Back,"May 14, 1995",23,9000000.0
Premier League,Brighton & Hove Albion,Gaëtan Bong,Left-Back,"Apr 25, 1988",30,2000000.0
Premier League,Brighton & Hove Albion,Martín Montoya,Right-Back,"Apr 14, 1991",27,8000000.0
Premier League,Brighton & Hove Albion,Bruno,Right-Back,"Oct 1, 1980",38,750000.0
Premier League,Brighton & Hove Albion,Yves Bissouma,Central Midfield,"Aug 30, 1996",22,15000000.0
Premier League,Brighton & Hove Albion,Davy Pröpper,Central Midfield,"Sep 2, 1991",27,15000000.0
Premier League,Brighton & Hove Albion,Dale Stephens,Central Midfield,"Dec 12, 1989",29,6000000.0
Premier League,Brighton & Hove Albion,Beram Kayal,Central Midfield,"May 2, 1988",30,1500000.0
Premier League,Brighton & Hove Albion,Solly March,Left Midfield,"Jul 20, 1994",24,7000000.0
Premier League,Brighton & Hove Albion,Pascal Groß,Attacking Midfield,"Jun 15, 1991",27,10000000.0
Premier League,Brighton & Hove Albion,José Izquierdo,Left Winger,"Jul 7, 1992",26,13000000.0
Premier League,Brighton & Hove Albion,Alireza Jahanbakhsh,Right Winger,"Aug 11, 1993",25,18000000.0
Premier League,Brighton & Hove Albion,Anthony Knockaert,Right Winger,"Nov 20, 1991",27,8000000.0
Premier League,Brighton & Hove Albion,Jürgen Locadia,Centre-Forward,"Nov 7, 1993",25,12000000.0
Premier League,Brighton & Hove Albion,Florin Andone,Centre-Forward,"Apr 11, 1993",26,6000000.0
Premier League,Brighton & Hove Albion,Glenn Murray,Centre-Forward,"Sep 25, 1983",35,3000000.0
Premier League,Burnley FC,Nick Pope,Goalkeeper,"Apr 19, 1992",26,10000000.0
Premier League,Burnley FC,Joe Hart,Goalkeeper,"Apr 19, 1987",31,7000000.0
Premier League,Burnley FC,Tom Heaton,Goalkeeper,"Apr 15, 1986",32,3000000.0
Premier League,Burnley FC,Anders Lindegaard,Goalkeeper,"Apr 13, 1984",34,500000.0
Premier League,Burnley FC,Adam Legzdins,Goalkeeper,"Nov 28, 1986",32,250000.0
Premier League,Burnley FC,James Tarkowski,Centre-Back,"Nov 19, 1992",26,15000000.0
Premier League,Burnley FC,Ben Gibson,Centre-Back,"Jan 15, 1993",26,12000000.0
Premier League,Burnley FC,Ben Mee,Centre-Back,"Sep 21, 1989",29,10000000.0
Premier League,Burnley FC,Kevin Long,Centre-Back,"Aug 18, 1990",28,2500000.0
Premier League,Burnley FC,Charlie Taylor,Left-Back,"Sep 18, 1993",25,5000000.0
Premier League,Burnley FC,Stephen Ward,Left-Back,"Aug 20, 1985",33,2500000.0
Premier League,Burnley FC,Matthew Lowton,Right-Back,"Jun 9, 1989",29,5000000.0
Premier League,Burnley FC,Phil Bardsley,Right-Back,"Jun 28, 1985",33,1500000.0
Premier League,Burnley FC,Jack Cork,Defensive Midfield,"Jun 25, 1989",29,15000000.0
Premier League,Burnley FC,Ashley Westwood,Defensive Midfield,"Apr 1, 1990",29,4000000.0
Premier League,Burnley FC,Jeff Hendrick,Central Midfield,"Jan 31, 1992",27,10000000.0
Premier League,Burnley FC,Steven Defour,Central Midfield,"Apr 15, 1988",30,7000000.0
Premier League,Burnley FC,Robbie Brady,Left Midfield,"Jan 14, 1992",27,8000000.0
Premier League,Burnley FC,Dwight McNeil,Left Winger,"Nov 22, 1999",19,2500000.0
Premier League,Burnley FC,Johann Berg Gudmundsson,Right Winger,"Oct 27, 1990",28,10000000.0
Premier League,Burnley FC,Aaron Lennon,Right Winger,"Apr 16, 1987",31,5000000.0
Premier League,Burnley FC,Chris Wood,Centre-Forward,"Dec 7, 1991",27,18000000.0
Premier League,Burnley FC,Matej Vydra,Centre-Forward,"May 1, 1992",26,10000000.0
Premier League,Burnley FC,Ashley Barnes,Centre-Forward,"Oct 30, 1989",29,8000000.0
Premier League,Burnley FC,Peter Crouch,Centre-Forward,"Jan 30, 1981",38,1000000.0
Premier League,Huddersfield Town,Jonas Lössl,Goalkeeper,"Feb 1, 1989",30,5000000.0
Premier League,Huddersfield Town,Ben Hamer,Goalkeeper,"Nov 20, 1987",31,500000.0
Premier League,Huddersfield Town,Joel Coleman,Goalkeeper,"Sep 26, 1995",23,500000.0
Premier League,Huddersfield Town,Terence Kongolo,Centre-Back,"Feb 14, 1994",25,15000000.0
Premier League,Huddersfield Town,Christopher Schindler,Centre-Back,"Apr 29, 1990",28,6000000.0
Premier League,Huddersfield Town,Zanka,Centre-Back,"Apr 23, 1990",28,5000000.0
Premier League,Huddersfield Town,Jon Gorenc-Stankovic,Centre-Back,"Jan 14, 1996",23,500000.0
Premier League,Huddersfield Town,Chris Löwe,Left-Back,"Apr 16, 1989",29,2000000.0
Premier League,Huddersfield Town,Erik Durm,Left-Back,"May 12, 1992",26,1500000.0
Premier League,Huddersfield Town,Florent Hadergjonaj,Right-Back,"Jul 31, 1994",24,7000000.0
Premier League,Huddersfield Town,Tom Smith,Right-Back,"Apr 14, 1992",26,3000000.0
Premier League,Huddersfield Town,Danny Williams,Defensive Midfield,"Mar 8, 1989",30,2000000.0
Premier League,Huddersfield Town,Aaron Mooy,Central Midfield,"Sep 15, 1990",28,14000000.0
Premier League,Huddersfield Town,Philip Billing,Central Midfield,"Jun 11, 1996",22,7000000.0
Premier League,Huddersfield Town,Jonathan Hogg,Central Midfield,"Dec 6, 1988",30,3500000.0
Premier League,Huddersfield Town,Juninho Bacuna,Central Midfield,"Aug 7, 1997",21,2500000.0
Premier League,Huddersfield Town,Alex Pritchard,Attacking Midfield,"May 3, 1993",25,10000000.0
Premier League,Huddersfield Town,Jason Puncheon,Attacking Midfield,"Jun 26, 1986",32,4000000.0
Premier League,Huddersfield Town,Abdelhamid Sabiri,Attacking Midfield,"Nov 28, 1996",22,1500000.0
Premier League,Huddersfield Town,Isaac Mbenza,Right Winger,"Mar 8, 1996",23,3500000.0
Premier League,Huddersfield Town,Elias Kachunga,Right Winger,"Apr 22, 1992",26,3000000.0
Premier League,Huddersfield Town,Steve Mounié,Centre-Forward,"Sep 29, 1994",24,10000000.0
Premier League,Huddersfield Town,Adama Diakhaby,Centre-Forward,"Jul 5, 1996",22,8000000.0
Premier League,Huddersfield Town,Laurent Depoitre,Centre-Forward,"Dec 7, 1988",30,4000000.0
Premier League,Huddersfield Town,Karlan Grant,Centre-Forward,"Sep 18, 1997",21,2500000.0
Premier League,Cardiff City,Neil Etheridge,Goalkeeper,"Feb 7, 1990",29,4000000.0
Premier League,Cardiff City,Alex Smithies,Goalkeeper,"Mar 5, 1990",29,3500000.0
Premier League,Cardiff City,Brian Murphy,Goalkeeper,"May 7, 1983",35,250000.0
Premier League,Cardiff City,Sean Morrison,Centre-Back,"Jan 8, 1991",28,5000000.0
Premier League,Cardiff City,Bruno Ecuele Manga,Centre-Back,"Jul 16, 1988",30,3000000.0
Premier League,Cardiff City,Sol Bamba,Centre-Back,"Jan 13, 1985",34,1000000.0
Premier League,Cardiff City,Matthew Connolly,Centre-Back,"Sep 24, 1987",31,750000.0
Premier League,Cardiff City,Greg Cunningham,Left-Back,"Jan 31, 1991",28,4000000.0
Premier League,Cardiff City,Joe Bennett,Left-Back,"Mar 28, 1990",29,2000000.0
Premier League,Cardiff City,Lee Peltier,Right-Back,"Dec 11, 1986",32,1500000.0
Premier League,Cardiff City,Jazz Richards,Right-Back,"Apr 12, 1991",28,750000.0
Premier League,Cardiff City,Harry Arter,Central Midfield,"Dec 28, 1989",29,7000000.0
Premier League,Cardiff City,Víctor Camarasa,Central Midfield,"May 28, 1994",24,6000000.0
Premier League,Cardiff City,Joe Ralls,Central Midfield,"Oct 13, 1993",25,5000000.0
Premier League,Cardiff City,Callum Paterson,Central Midfield,"Oct 13, 1994",24,5000000.0
Premier League,Cardiff City,Leandro Bacuna,Central Midfield,"Aug 21, 1991",27,3000000.0
Premier League,Cardiff City,Aron Gunnarsson,Central Midfield,"Apr 22, 1989",29,2500000.0
Premier League,Cardiff City,Stuart O'Keefe,Central Midfield,"Mar 4, 1991",28,750000.0
Premier League,Cardiff City,Loïc Damour,Central Midfield,"Jan 8, 1991",28,750000.0
Premier League,Cardiff City,Kadeem Harris,Right Midfield,"Jun 8, 1993",25,500000.0
Premier League,Cardiff City,Bobby Reid,Attacking Midfield,"Feb 2, 1993",26,10000000.0
Premier League,Cardiff City,Josh Murphy,Left Winger,"Feb 24, 1995",24,8000000.0
Premier League,Cardiff City,Junior Hoilett,Left Winger,"Jun 5, 1990",28,4500000.0
Premier League,Cardiff City,Nathaniel Mendez-Laing,Right Winger,"Apr 15, 1992",26,2500000.0
Premier League,Cardiff City,Kenneth Zohore,Centre-Forward,"Jan 31, 1994",25,7000000.0
Premier League,Cardiff City,Oumar Niasse,Centre-Forward,"Apr 18, 1990",28,7000000.0
Premier League,Cardiff City,Danny Ward,Centre-Forward,"Dec 9, 1990",28,1750000.0
Premier League,Cardiff City,Rhys Healey,Centre-Forward,"Dec 6, 1994",24,150000.0
LaLiga,FC Barcelona,Marc-André ter Stegen,Goalkeeper,"Apr 30, 1992",26,80000000.0
LaLiga,FC Barcelona,Jasper Cillessen,Goalkeeper,"Apr 22, 1989",29,18000000.0
LaLiga,FC Barcelona,Samuel Umtiti,Centre-Back,"Nov 14, 1993",25,70000000.0
LaLiga,FC Barcelona,Clément Lenglet,Centre-Back,"Jun 17, 1995",23,50000000.0
LaLiga,FC Barcelona,Gerard Piqué,Centre-Back,"Feb 2, 1987",32,40000000.0
LaLiga,FC Barcelona,Jeison Murillo,Centre-Back,"May 27, 1992",26,15000000.0
LaLiga,FC Barcelona,Jean-Clair Todibo,Centre-Back,"Dec 30, 1999",19,8000000.0
LaLiga,FC Barcelona,Thomas Vermaelen,Centre-Back,"Nov 14, 1985",33,3000000.0
LaLiga,FC Barcelona,Jordi Alba,Left-Back,"Mar 21, 1989",30,70000000.0
LaLiga,FC Barcelona,Sergi Roberto,Right-Back,"Feb 7, 1992",27,55000000.0
LaLiga,FC Barcelona,Nélson Semedo,Right-Back,"Nov 16, 1993",25,40000000.0
LaLiga,FC Barcelona,Sergio Busquets,Defensive Midfield,"Jul 16, 1988",30,75000000.0
LaLiga,FC Barcelona,Arthur,Central Midfield,"Aug 12, 1996",22,60000000.0
LaLiga,FC Barcelona,Ivan Rakitic,Central Midfield,"Mar 10, 1988",31,50000000.0
LaLiga,FC Barcelona,Carles Aleñà,Central Midfield,"Jan 5, 1998",21,25000000.0
LaLiga,FC Barcelona,Arturo Vidal,Central Midfield,"May 22, 1987",31,18000000.0
LaLiga,FC Barcelona,Rafinha,Central Midfield,"Feb 12, 1993",26,15000000.0
LaLiga,FC Barcelona,Philippe Coutinho,Attacking Midfield,"Jun 12, 1992",26,100000000.0
LaLiga,FC Barcelona,Ousmane Dembélé,Left Winger,"May 15, 1997",21,120000000.0
LaLiga,FC Barcelona,Lionel Messi,Right Winger,"Jun 24, 1987",31,160000000.0
